Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Days Existed,Funding,Select Investors
Bytedance,"$180,000,000,000 ",4/7/2017,Artificial intelligence,Beijing,China,Asia,2012,40820,"$8,000,000,000 ","Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,"$100,000,000,000 ",12/1/2012,Other,Hawthorne,United States,North America,2002,39242,"$7,000,000,000 ","Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,"$100,000,000,000 ",7/3/2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,41276,"$2,000,000,000 ","Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,"$95,000,000,000 ",1/23/2014,Fintech,San Francisco,United States,North America,2010,39652,"$2,000,000,000 ","Khosla Ventures, LowercaseCapital, capitalG"
Klarna,"$46,000,000,000 ",12/12/2011,Fintech,Stockholm,Sweden,Europe,2005,38884,"$4,000,000,000 ","Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,"$40,000,000,000 ",1/8/2018,Internet software & services,Surry Hills,Australia,Oceania,2012,41096,"$572,000,000 ","Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,"$40,000,000,000 ",5/2/2019,Fintech,London,United Kingdom,Europe,2012,41575,"$2,000,000,000 ","Tiger Global Management, Insight Partners, DST Global"
Instacart,"$39,000,000,000 ",12/30/2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,39991,"$3,000,000,000 ","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,"$38,000,000,000 ",12/20/2017,Consumer & retail,San Francisco,United States,North America,2015,41074,"$14,000,000,000 ",Tiger Global Management
Databricks,"$38,000,000,000 ",2/5/2019,Data management & analytics,San Francisco,United States,North America,2013,41488,"$3,000,000,000 ","Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,"$33,000,000,000 ",4/26/2018,Fintech,London,United Kingdom,Europe,2015,41201,"$2,000,000,000 ","index Ventures, DST Global, Ribbit Capital"
Epic Games,"$32,000,000,000 ",10/26/2018,Other,Cary,United States,North America,1991,41408,"$7,000,000,000 ","Tencent Holdings, KKR, Smash Ventures"
FTX,"$32,000,000,000 ",7/20/2021,Fintech,,Bahamas,North America,2018,42379,"$2,000,000,000 ","Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,"$27,000,000,000 ",6/6/2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,39064,"$4,000,000,000 ","SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,"$25,000,000,000 ",3/5/2019,Fintech,San Francisco,United States,North America,2013,41516,"$2,000,000,000 ","Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,"$22,000,000,000 ",7/25/2017,Edtech,Bengaluru,India,Asia,2008,40933,"$4,000,000,000 ","Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,"$20,000,000,000 ",4/7/2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,42278,"$5,000,000,000 ","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,"$20,000,000,000 ",3/31/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,40447,"$918,000,000 ","GGV Capital, ZhenFund, Tencent"
Miro,"$18,000,000,000 ",1/5/2022,Internet software & services,San Francisco,United States,North America,2011,42555,"$476,000,000 ","Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,"$17,000,000,000 ",5/31/2017,Edtech,Beijing,China,Asia,2012,40874,"$4,000,000,000 ","Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,"$15,000,000,000 ",12/3/2019,Fintech,London,United Kingdom,Europe,2016,41786,"$770,000,000 ","Target Global, General Catalyst, Durable Capital Partners"
Discord,"$15,000,000,000 ",4/20/2018,Internet software & services,San Francisco,United States,North America,2012,41198,"$979,000,000 ","Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,"$15,000,000,000 ",3/1/2020,Consumer & retail,Beijing,China,Asia,2016,41875,"$721,000,000 ","Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,"$15,000,000,000 ",10/8/2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,42099,"$3,000,000,000 ","Accel, Softbank Group, Anthos Capital"
Blockchain.com,"$14,000,000,000 ",2/17/2021,Fintech,London,United Kingdom,Europe,2011,42233,"$490,000,000 ","Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,"$13,000,000,000 ",12/11/2018,Fintech,San Francisco,United States,North America,2012,41433,"$734,000,000 ","New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,"$13,000,000,000 ",10/16/2018,Health,Waltham,United States,North America,2017,41372,"$2,000,000,000 ","Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,"$13,000,000,000 ",7/20/2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,42380,"$427,000,000 ","Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,"$13,000,000,000 ",10/10/2019,Internet software & services,San Francisco,United States,North America,2009,41739,"$400,000,000 ","General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,"$12,000,000,000 ",7/12/2019,Artificial intelligence,Pittsburgh,United States,North America,2016,41642,"$4,000,000,000 ","Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,"$12,000,000,000 ",6/12/2019,Other,Stockholm,Sweden,Europe,2016,41612,"$4,000,000,000 ","Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,"$12,000,000,000 ",10/30/2019,Artificial intelligence,San Francisco,United States,North America,2017,41751,"$1,000,000,000 ","Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,"$12,000,000,000 ",11/15/2018,Internet software & services,San Francisco,United States,North America,2013,41406,"$1,000,000,000 ","Caffeinated Capital, CRV, Founder Collective"
